id,name,latitude,longitude,type,image,description
1,Kopiec Kraka,50.039449,19.958277,viewpoint,kraka,"W czasach przedchrzeœcijañskich kopiec by³ miejscem obrzêdów s³owiañskich, obecnie poza œwiêtami rodzimowierczymi jest miejscem œwiêtowania Rêkawki – tradycyjnego krakowskiego zwyczaju wielkanocnego."
2,Park Bednarskiego,50.041007,19.948509,park,bednarskiego,"Zabytkowy park miejski usytuowany w miejscu dawnego kamienio³omu, po przejœciu prac rewitalizacyjnych w 2023 roku jest œwietnym miejscem wypoczynkowym."
3,Opactwo Benedyktynów w Tyñcu,50.020178,19.801761,architecture,tyniec,"Biegn¹cy wa³ami szlak Wiœlanej Trasy Rowerowej ³¹czy Zamek Królewski na Wawelu z prawie tysi¹cletnim, najstarszym polskim klasztorem, jakim jest Opactwo Benedyktynów w Tyñcu."
4,Zakrzówek,50.039886,19.911505,lake,zakrzowek,"Zagospodarowany obszar dawnego wapiennego kamienio³omu, obecnie ogólnodostêpny z licznymi alejkami oraz funkcjonuj¹cym w okresie letnim strze¿onym k¹pieliskiem."
5,Bagry,50.033836,19.993891,lake,bagry,"Zbiornik wodny z ogólnodostêpn¹ pla¿¹, wypo¿yczalniami sprzêtu wodnego i trzema przystaniami wodnymi klubów ¿eglarskich."
6,Zamek Niepo³omice,50.033859,20.217528,architecture,niepolomice,"Zamek królewski z po³owy XIV wieku w Niepo³omicach, który z centrum Krakowa ³¹czy szlak Wiœlanej Trasy Rowerowej."
7,Kopiec Koœciuszki,50.054734,19.892585,viewpoint,kosciuszki,"Od œmierci Tadeusza Koœciuszki w 1817 roku wzrasta³ jego kult jako bohatera narodowego, w efekcie czego wzniesiono kopiec, obecnie do kopca przylega równie¿ muzeum koœciuszkowskie, wstêp zarówno do muzeum, jak i na sam kopiec jest p³atny."
8,Polana na Sikorniku,50.057522,19.875447,viewpoint,sikornik,"Polana na Sikorniku znajduje siê na trasie pomiêdzy Kopcem Koœciuszki a Kopcem Pi³sudskiego, w pogodny dzieñ roztacza siê z niej widok nawet na same Tatry."
9,Kopiec Pi³sudskiego,50.060095,19.848443,viewpoint,pilsudskiego,"Z wysokoœci¹ 35 metrów i z dat¹ powstania na pocz¹tku XX wieku Kopiec Pi³sudskiego jest zarazem najwy¿szym i najm³odszym krakowskim kopcem, jako symbol walki o niepodleg³oœæ, zosta³y w nim z³o¿one ziemie z wszystkich pól bitw I Wojny Œwiatowej, w których walczyli Polacy."
10,Park Jordana,50.062935,19.916568,park,jordana,"Jedno z najpopularniejszych miejsc do podejmowania aktywnoœci sportowej na œwie¿ym powietrzu, znajduj¹ siê w nim liczne place zabaw, boiska sportowe, mini skate park, zewnêtrzne si³ownie oraz zbiornik wodny ze stref¹ zabaw dla dzieci."
11,Kopiec Wandy,50.070439,20.068373,viewpoint,wandy,"Najmniej zbadany krakowski kopiec, powsta³y prawdopodobnie oko³o VII/VIII wieku, wraz z Kopcem Kraka i innymi obecnie zburzonymi kopcami móg³ pe³niæ funkcje religijne, rytualne, obserwacyjne i grzebalne."
12,£¹ki Nowohuckie,50.064556,20.03484,meadow,laki_nowohuckie,"Powsta³y w starym korycie Wis³y u¿ytek ekologiczny, uznany za obszar Natura 2000, bêd¹cy jednym z najbogatszych przyrodniczo terenów w Krakowie."
13,Park Lotników,50.071336,19.993437,park,lotnikow,"Park mieszcz¹cy siê w miejscu dawnego fortu, obecnie zrewitalizowany i dobrze zagospodarowany teren, na którym znajduje siê równie¿ Ogród Doœwiadczeñ."
14,Zalew Nowohucki,50.079474,20.053531,park,zalew_nowohucki,"Park ze sztucznym stawem bêd¹cy jednym z g³ównych miejsc rekreacyjnych w Nowej Hucie, w 2023 roku zakoñczy³y siê prace rewitalizacyjne tworz¹ce miejsca do odpoczynku i przestrzeñ dla dzieci."
